id_mesin,bank,area,jenis,nama_mesin,status
Z2W4,BCA,PESISIR,CRM,CRM SPBU 3414406 M Angke,AKTIF
Z8U3,BCA,PESISIR,CRM,CRM Alfa Pantai Indah Selatan,AKTIF
Z0HH,BCA,PESISIR,CRM,CRM Niaga Grisenda 3,AKTIF
Z0HJ,BCA,PESISIR,CRM,CRM Niaga Grisenda 4,AKTIF
Z0HK,BCA,PESISIR,CRM,CRM Niaga Grisenda 5,AKTIF
Z2EL,BCA,PESISIR,CRM,Pluit Timur CRM 1,AKTIF
Z2EM,BCA,PESISIR,CRM,CRM 2 Pluit Timur,AKTIF
Z32N,BCA,PESISIR,CRM,ITC Mangga Dua CRM 2,AKTIF
ZB0Q,BCA,PESISIR,CRM,CRM IDM Crown Golf A3,AKTIF
ZJC4,BCA,PESISIR,CRM,CRM IDM Pluit Karang Jelita,AKTIF
ZN8D,BCA,PESISIR,CRM,CRM Alfamart Tanah Pasir II CRM 1,AKTIF
ZX3B,BCA,PESISIR,CRM,CRM AlfaMd Pluit Utara Raya,AKTIF
CCBPTST01,BCA,PESISIR,TCR,TCR CBD PLUIT 1,AKTIF
CCBPTST02,BCA,PESISIR,TCR,TCR CBD PLUIT 2,AKTIF
CELTTST01,BCA,PESISIR,TCR,TCR Elang Laut 1,AKTIF
CELTTST02,BCA,PESISIR,TCR,TCR Elang Laut 3,AKTIF
CMKUTST01,BCA,PESISIR,TCR,TCR Muara Karang 2 1,AKTIF
CMKUTST02,BCA,PESISIR,TCR,TCR Muara Karang 2 2,AKTIF
CMKUTST03,BCA,PESISIR,TCR,TCR Muara Karang Utara 3,AKTIF
CMKUTST04,BCA,PESISIR,TCR,TCR Muara Karang Utara 4,AKTIF
CMUATST01,BCA,PESISIR,TCR,TCR Muara Karang 1,AKTIF
CMUATST02,BCA,PESISIR,TCR,TCR Muara Karang 2,AKTIF
CMUATST03,BCA,PESISIR,TCR,TCR Muara Karang 3,AKTIF
CMUATST04,BCA,PESISIR,TCR,TCR Muara Karang 4,AKTIF
CPLTST07,BCA,PESISIR,TCR,TCR KCU Pluit 3,AKTIF
CPLTST08,BCA,PESISIR,TCR,TCR KCU Pluit,AKTIF
CPLTST09,BCA,PESISIR,TCR,TCR KCU Pluit 2,AKTIF
CMGDTST01,BCA,PESISIR,TCR,TCR Mangga Dua I 1,AKTIF
CMGDTST02,BCA,PESISIR,TCR,TCR Mangga Dua I 2,AKTIF
S1FRMAR019,BNI,PESISIR,CRM,SUPERINDO MUARA KARANG,AKTIF
S1FRMAR020,BNI,PESISIR,CRM,CRM INDOMARET MUARA BARU,AKTIF
S1GRMAR004,BNI,PESISIR,CRM,CRM GAL PERUM MUARA BARU,AKTIF
670032,BRI,PESISIR,CRM,KK MUARA BARU,AKTIF
861092,BRI,PESISIR,CRM,CRM KC JAKARTA PANTAI INDAH KAPUK,AKTIF
861103,BRI,PESISIR,CRM,CRM CENTRAL MARKET PIK,AKTIF
861174,BRI,PESISIR,CRM,FRESH MARKET PIK,AKTIF
861175,BRI,PESISIR,CRM,CRM KCP MUARA ANGKE,AKTIF
660057,BRI,PESISIR,CRM,GALERI ATM PASAR PAGI MANGGA DUA,AKTIF
670031,BRI,PESISIR,CRM,KC PLUIT,AKTIF
861081,BRI,PESISIR,CRM,CRM KCP TELUK GONG,AKTIF
861257,BRI,PESISIR,CRM,CRM KCP KAPUK INDAH,AKTIF
HTC0017631,BTN,PESISIR,CRM,CRM KC PLUIT,AKTIF
HTC0021160,BTN,PESISIR,CRM,KCP ANCOL,AKTIF
HTC0017623,BTN,PESISIR,CRM,KCP TELUK GONG,AKTIF
80000944,DANAMON,PESISIR,CRM,CRM JKT INDOMARET TELUK GONG 2,AKTIF
S1RO16HK,MANDIRI,PESISIR,CRM,CRM SB SDY INDOGOLF,AKTIF
S1RO16RO,MANDIRI,PESISIR,CRM,CRM PIK Avenue,AKTIF
38000143,OCBC,PESISIR,CRM,CRM CBD Pluit,AKTIF
38000179,OCBC,PESISIR,CRM,CRM OCBC PIK 2,AKTIF
38000036,OCBC,PESISIR,CRM,CRM KCU OCBC NISP PIK,AKTIF
38000045,OCBC,PESISIR,CRM,CRM OCBC FFG PIK,AKTIF
38000046,OCBC,PESISIR,CRM,CRM OCBC FFG PIK,AKTIF
38000148,OCBC,PESISIR,CRM,Pluit Karang Utara,AKTIF
15300271,SINARMAS,PESISIR,CRM,CRM RSIA Family Pluit - Jakarta,AKTIF
15302002,SINARMAS,PESISIR,CRM,CRM PIK Cordoba,AKTIF
15305802,SINARMAS,PESISIR,CRM,CRM Pluit - Jakarta,AKTIF
