id_mesin,bank,area,jenis,nama_mesin,status
Z057,BCA,UTARA,CRM,CRM Kelapa Gading Hibrida 4,AKTIF
Z0CT,BCA,UTARA,CRM,CRM Kelapa Gading Villa 1,AKTIF
Z2JY,BCA,UTARA,CRM,Kelapa Gading CRM 2,AKTIF
Z30E,BCA,UTARA,CRM,Kelapa Gading Villa CRM 3,AKTIF
Z4EY,BCA,UTARA,CRM,CRM SPBU 34-14210 Artha Gading 2,AKTIF
Z70H,BCA,UTARA,CRM,CRM Kelapa Gading Raya 1,AKTIF
Z70J,BCA,UTARA,CRM,CRM Kelapa Gading Raya 2,AKTIF
Z70T,BCA,UTARA,CRM,CRM Kelapa Gading 10,AKTIF
Z70V,BCA,UTARA,CRM,Kelapa Gading Raya CRM 12,AKTIF
Z70Y,BCA,UTARA,CRM,CRM Kelapa Gading Raya 15,AKTIF
ZN2U,BCA,UTARA,CRM,CRM Sunter Mall,AKTIF
ZQ9Y,BCA,UTARA,CRM,CRM Sunter Mall 3,AKTIF
ZQ9Z,BCA,UTARA,CRM,CRM Sunter Mall 2,AKTIF
ZQM8,BCA,UTARA,CRM,Alfa Sunter Kirana,AKTIF
Z44Z,BCA,UTARA,CRM,CRM IDM Swasembada Timur,AKTIF
Z5CJ,BCA,UTARA,CRM,CRM Alfamidi Bugis 2,AKTIF
Z5CK,BCA,UTARA,CRM,CRM Alfamidi Swasembada,AKTIF
ZQR8,BCA,UTARA,CRM,Alfa Swasembada Timur,AKTIF
Z2R1,BCA,UTARA,CRM,AlfaMd Kesatriaan,AKTIF
ZQT8,BCA,UTARA,CRM,AlfaMd Kalibaru Timur,AKTIF
ZV8M,BCA,UTARA,CRM,AlfaMd Maja,AKTIF
ZQP8,BCA,UTARA,CRM,Alfa Tugu Permai,AKTIF
ZLV4,BCA,UTARA,CRM,Psr Jaya Koja Baru,AKTIF
ZZA1,BCA,UTARA,CRM,CDM Wings Marunda 1,AKTIF
ZZA2,BCA,UTARA,CRM,CDM Wings Marunda,AKTIF
Z4U8,BCA,UTARA,CRM,CRM Ruko Pademangan,AKTIF
ZK9M,BCA,UTARA,CRM,CRM Alfamart Pademangan VI 1,AKTIF
CGRKTST01,BCA,UTARA,TCR,TCR PRJ Altira 1,AKTIF
CGRKTST02,BCA,UTARA,TCR,TCR PRJ Altira 2,AKTIF
CGSHTST01,BCA,UTARA,TCR,TCR Gunung Sahari,AKTIF
CGSHTST02,BCA,UTARA,TCR,TCR Gunung Sahari,AKTIF
CKGMTST01,BCA,UTARA,TCR,KCP Kelapa Gading Raya,AKTIF
CKGMTST02,BCA,UTARA,TCR,KCP Kelapa Gading Raya,AKTIF
CKGVTST01,BCA,UTARA,TCR,TCR Kelapa Gading Villa 1,AKTIF
CKGVTST02,BCA,UTARA,TCR,TCR Kelapa Gading Villa 2,AKTIF
CLDCTST01,BCA,UTARA,TCR,TCR KCP Lodan 1,AKTIF
CLDCTST02,BCA,UTARA,TCR,TCR KCP Lodan 2,AKTIF
CPDTTST01,BCA,UTARA,TCR,TCR KCP Puri Deltamas Teller 1,AKTIF
CSNRTST01,BCA,UTARA,TCR,TCR Sunter Podomoro 1,AKTIF
CSNRTST02,BCA,UTARA,TCR,TCR Sunter Podomoro 2,AKTIF
CSTDTST01,BCA,UTARA,TCR,TCR Sunter Danau 1,AKTIF
CSTDTST02,BCA,UTARA,TCR,TCR Sunter Danau 2,AKTIF
CTIBTST01,BCA,UTARA,TCR,TCR Tiang Bendera 1,AKTIF
CTSITST01,BCA,UTARA,TCR,TCR Taman Sunter Indah 1,AKTIF
CTSITST02,BCA,UTARA,TCR,TCR Taman Sunter Indah 2,AKTIF
S1DKRMR007,BNI,UTARA,CRM,CRM TOYOTA MTR MANUFACTURING,AKTIF
S1HBKSR127,BNI,UTARA,CRM,CRM GADING NIAS RESIDANCE,AKTIF
S1HJKTR031,BNI,UTARA,CRM,CRM INDOMARET PADEMANGAN 3,AKTIF
S1HJKTR041,BNI,UTARA,CRM,APARTEMEN SPRINGHILL,AKTIF
S1HTPRR004,BNI,UTARA,CRM,KLN ARTHA GADING CRM,AKTIF
S1HTPRR007,BNI,UTARA,CRM,INDOMARET KOMP PELINDO 2 CRM,AKTIF
S1JTPRR005,BNI,UTARA,CRM,KOLINLAMIL CRM,AKTIF
S1JTPRR068,BNI,UTARA,CRM,PERUMAHAN STIP 1,AKTIF
S1IKAGR022,BNI,UTARA,CRM,INDOGROSIR PIPAL MART,AKTIF
BKSR0135,BPRKS,UTARA,CRM,CRM Kelapa Gading,AKTIF
2003,BRI,UTARA,CRM,BRI KK KAWASAN BERIKAT NUSANTARA,AKTIF
460030,BRI,UTARA,CRM,INDOMARET PAPANGGO,AKTIF
861144,BRI,UTARA,CRM,CRM KC JAKARTA ARTHA GADING,AKTIF
C9035006,BSI,UTARA,CRM,Indomaret Kebantenan 85,AKTIF
HTC0021111,BTN,UTARA,CRM,CRM KELAPA GADING SQUARE,AKTIF
HTC0021156,BTN,UTARA,CRM,CRM KK KEBON BAWANG,AKTIF
HTC0021157,BTN,UTARA,CRM,CRM BTN KK KOJA,AKTIF
HTC0021158,BTN,UTARA,CRM,JAKARTA KELAPA GADING,AKTIF
HTC0021162,BTN,UTARA,CRM,KELAPA GADING,AKTIF
HTC0021163,BTN,UTARA,CRM,Sunter,AKTIF
HTC0021165,BTN,UTARA,CRM,KELAPA HIBRIDA,AKTIF
HTC0021167,BTN,UTARA,CRM,TAMAN SUNTER INDAH,AKTIF
HTC0021182,BTN,UTARA,CRM,CRM KC KGS,AKTIF
HTC0021183,BTN,UTARA,CRM,KC KLPGDG SQRE 3,AKTIF
80000465,DANAMON,UTARA,CRM,CRM JKT KELAPA GADING MALL 2,AKTIF
80000810,DANAMON,UTARA,CRM,CRM JKT PADEMANGAN 4,AKTIF
80001033,DANAMON,UTARA,CRM,CRM JAKARTA MOBILE BRANCH LARGE 1,AKTIF
S1RO16EL,MANDIRI,UTARA,CRM,CRM TJ PRIOK TAWES CRM,AKTIF
S1RO1L0O,MANDIRI,UTARA,CRM,CRM Enggano,AKTIF
